epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,600.906,1.38503,1.26775,1.47774,0.69605,0.65798,0.64763,0.34753,1.81423,1.35104,1.80108,0.000709809,0.000709809,0.000709809
60,611.308,1.39737,1.26488,1.50382,0.66373,0.63915,0.6355,0.34906,1.78627,1.3731,1.77673,0.000693305,0.000693305,0.000693305
61,621.665,1.34526,1.24347,1.46298,0.62675,0.65798,0.63607,0.33712,1.82038,1.39493,1.80301,0.000676802,0.000676802,0.000676802
62,632.17,1.34023,1.19087,1.46135,0.59383,0.64294,0.61239,0.34268,1.77937,1.37694,1.78397,0.000660299,0.000660299,0.000660299
63,642.194,1.36548,1.23459,1.48272,0.62441,0.64294,0.62352,0.39501,1.60441,1.28017,1.70285,0.000643795,0.000643795,0.000643795
64,652.308,1.36191,1.23059,1.48038,0.64545,0.65419,0.63341,0.35987,1.80262,1.31813,1.79168,0.000627292,0.000627292,0.000627292
65,662.205,1.37343,1.23204,1.47578,0.67885,0.61668,0.64305,0.36735,1.76133,1.34186,1.78834,0.000610789,0.000610789,0.000610789
66,672.497,1.32274,1.19624,1.44838,0.6933,0.57906,0.61384,0.3597,1.75293,1.36283,1.79667,0.000594286,0.000594286,0.000594286
67,683.255,1.35341,1.1972,1.46816,0.6827,0.58652,0.61503,0.38548,1.65289,1.34545,1.70093,0.000577782,0.000577782,0.000577782
68,693.553,1.29863,1.2006,1.43596,0.65449,0.63874,0.62486,0.37706,1.68283,1.3032,1.70372,0.000561279,0.000561279,0.000561279
69,703.564,1.31368,1.18316,1.43745,0.66163,0.62047,0.62244,0.36359,1.80545,1.35506,1.78059,0.000544776,0.000544776,0.000544776
70,713.75,1.29688,1.16965,1.4219,0.68886,0.65,0.64899,0.3757,1.73602,1.2407,1.73913,0.000528272,0.000528272,0.000528272
71,723.87,1.32963,1.17584,1.44104,0.68385,0.61327,0.63783,0.37511,1.69851,1.22978,1.73387,0.000511769,0.000511769,0.000511769
72,733.947,1.33365,1.18601,1.45381,0.64713,0.66926,0.65701,0.40312,1.62171,1.21721,1.70882,0.000495266,0.000495266,0.000495266
73,743.764,1.32092,1.15737,1.44293,0.6363,0.62524,0.62529,0.38491,1.67881,1.24519,1.73937,0.000478762,0.000478762,0.000478762
74,753.587,1.27132,1.14704,1.3974,0.66051,0.63918,0.63904,0.39274,1.66675,1.23957,1.73231,0.000462259,0.000462259,0.000462259
75,763.528,1.2844,1.16225,1.43764,0.65284,0.65422,0.62218,0.39422,1.6259,1.22456,1.68057,0.000445756,0.000445756,0.000445756
76,773.342,1.30095,1.14055,1.42062,0.66862,0.68054,0.64886,0.39692,1.66734,1.27345,1.74472,0.000429253,0.000429253,0.000429253
77,784.111,1.27235,1.15117,1.4355,0.67018,0.63551,0.6216,0.38556,1.72623,1.3202,1.78713,0.000412749,0.000412749,0.000412749
78,794.232,1.27672,1.11784,1.40897,0.67282,0.63175,0.62534,0.39276,1.63759,1.34395,1.72863,0.000396246,0.000396246,0.000396246
79,804.365,1.26818,1.09059,1.39434,0.68933,0.63886,0.64232,0.38526,1.68104,1.22735,1.73827,0.000379743,0.000379743,0.000379743
80,814.25,1.2662,1.10419,1.39033,0.66105,0.65801,0.64641,0.41286,1.61499,1.19619,1.73183,0.000363239,0.000363239,0.000363239
81,824.658,1.2488,1.11334,1.40819,0.66533,0.64634,0.64207,0.38939,1.71338,1.24039,1.75735,0.000346736,0.000346736,0.000346736
82,834.442,1.23024,1.09518,1.3733,0.69323,0.68483,0.64526,0.40743,1.63939,1.1948,1.72802,0.000330233,0.000330233,0.000330233
83,844.107,1.22361,1.07597,1.3749,0.69785,0.67072,0.65182,0.40594,1.63896,1.18744,1.75664,0.000313729,0.000313729,0.000313729
84,854.318,1.2358,1.10147,1.39022,0.67935,0.67675,0.6554,0.40195,1.67222,1.16486,1.76184,0.000297226,0.000297226,0.000297226
85,864.549,1.26432,1.08668,1.40859,0.69396,0.65043,0.6507,0.40704,1.65945,1.22391,1.73066,0.000280723,0.000280723,0.000280723
86,874.489,1.19465,1.06769,1.35973,0.72284,0.62922,0.64168,0.3948,1.67827,1.19747,1.71223,0.00026422,0.00026422,0.00026422
87,884.399,1.213,1.06761,1.36351,0.67935,0.65465,0.64725,0.41536,1.5971,1.17002,1.7016,0.000247716,0.000247716,0.000247716
